name	accession	length	type	submission_date	organism	host	strain	segment	geo_loc_name	country	country_code	collection_original	collection_date	note
PP334192	PP334192	15600	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/2L7/2019	NA	USA	USA	USA	2019-12	2019-12-01	metagenomic
PP334193	PP334193	15600	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/2Q3/2020	NA	USA	USA	USA	2020-02	2020-02-01	metagenomic
PP334208	PP334208	15600	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/8N2/2011	NA	USA	USA	USA	2011-10	2011-10-01	metagenomic
PP334209	PP334209	15600	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/8N3/2011	NA	USA	USA	USA	2011-10	2011-10-01	metagenomic
PP334207	PP334207	15599	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/8L10/2011	NA	USA	USA	USA	2011-10	2011-10-01	metagenomic
PP334196	PP334196	15598	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/5E7/2009	NA	USA	USA	USA	2009-10	2009-10-01	metagenomic
PP334237	PP334237	15597	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/12N4/2015	NA	USA	USA	USA	2015-11	2015-11-01	metagenomic
LC817391	LC817391	15597	viral cRNA	2024-05-23	Human respirovirus 1	Homo sapiens	PIV1_Fukushima_OR711_2022	NA	Japan: Fukushima	Japan	JPN	2022	2022-01-01	NA
ON778020	ON778020	15596	viral cRNA	2023-02-05	Human respirovirus 1	Homo sapiens	PIV1_4	NA	USA	USA	USA	2020-03-31	2020-03-31	NA
PP334198	PP334198	15596	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/5H6/2009	NA	USA	USA	USA	2009-11	2009-11-01	metagenomic
PP334203	PP334203	15596	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/5T2/2010	NA	USA	USA	USA	2010-02	2010-02-01	metagenomic
PP334204	PP334204	15596	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/5T3/2010	NA	USA	USA	USA	2010-02	2010-02-01	metagenomic
PP334205	PP334205	15596	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/8I6/2011	NA	USA	USA	USA	2011-08	2011-08-01	metagenomic
LC720862	LC720862	15588	viral cRNA	2024-05-11	Human respirovirus 1	Homo sapiens	PIV1_Fukushima_O81_2018	NA	Japan: Fukushima	Japan	JPN	2018	2018-01-01	NA
LC817392	LC817392	15586	viral cRNA	2024-05-23	Human respirovirus 1	Homo sapiens	PIV1_Fukushima_OR715_2022	NA	Japan: Fukushima	Japan	JPN	2022	2022-01-01	NA
MH828703	MH828703	15585	viral cRNA	2022-04-16	Human respirovirus 1	Homo sapiens	vzhpiv11	NA	Viet Nam	Viet Nam	VNM	08-Dec-2014	2014-12-08	NA
MH828704	MH828704	15585	viral cRNA	2022-04-16	Human respirovirus 1	Homo sapiens	vzhpiv12	NA	Viet Nam	Viet Nam	VNM	13-Jan-2015	2015-01-13	NA
MH828705	MH828705	15585	viral cRNA	2022-04-16	Human respirovirus 1	Homo sapiens	vzhpiv13	NA	Viet Nam	Viet Nam	VNM	31-Mar-2015	2015-03-31	NA
MH828706	MH828706	15585	viral cRNA	2022-04-16	Human respirovirus 1	Homo sapiens	vzhpiv14	NA	Viet Nam	Viet Nam	VNM	16-Oct-2014	2014-10-16	NA
MH828707	MH828707	15585	viral cRNA	2022-04-16	Human respirovirus 1	Homo sapiens	vzhpiv15	NA	Viet Nam	Viet Nam	VNM	01-Dec-2014	2014-12-01	NA
PP591758	PP591758	15583	viral cRNA	2024-04-16	Human respirovirus 1	Homo sapiens	ASU100310	NA	USA	USA	USA	20-Feb-2023	2023-02-20	metagenomic
LC817389	LC817389	15581	viral cRNA	2024-05-23	Human respirovirus 1	Homo sapiens	PIV1_Fukushima_OR692_2022	NA	Japan: Fukushima	Japan	JPN	2022	2022-01-01	NA
KX639498	KX639498	15580	viral cRNA	2016-08-09	Human respirovirus 1	Homo sapiens	NM001	NA	USA	USA	USA	16-Dec-2015	2015-12-16	NA
ON778017	ON778017	15580	viral cRNA	2023-02-05	Human respirovirus 1	Homo sapiens	PIV1_1	NA	USA	USA	USA	2019-11-04	2019-11-04	NA
PP334239	PP334239	15580	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/12O5/2015	NA	USA	USA	USA	2015-12	2015-12-01	metagenomic
PP334235	PP334235	15579	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/12M10/2015	NA	USA	USA	USA	2015-11	2015-11-01	metagenomic
LC817390	LC817390	15577	viral cRNA	2024-05-23	Human respirovirus 1	Homo sapiens	PIV1_Fukushima_OR710_2022	NA	Japan: Fukushima	Japan	JPN	2022	2022-01-01	NA
KM190940	KM190940	15574	viral cRNA	2015-05-31	Human respirovirus 1	Homo sapiens	VIROAF9	NA	Thailand	Thailand	THA	02-Feb-2012	2012-02-02	passage history: MDCK-5
KX570602	KX570602	15574	viral cRNA	2016-08-09	Human respirovirus 1	Homo sapiens	AR001	NA	USA	USA	USA	19-Sep-2015	2015-09-19	NA
PP334236	PP334236	15571	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/12N3/2015	NA	USA	USA	USA	2015-11	2015-11-01	metagenomic
OQ848552	OQ848552	15561	viral cRNA	2023-05-16	Human respirovirus 1	Homo sapiens	HPIV1/USA/8E1/2011	NA	USA	USA	USA	2011-05	2011-05-01	NA
MK989715	MK989715	15560	viral cRNA	2020-09-22	Human respirovirus 1	Homo sapiens	20693_68_HPIV1	NA	Kenya	Kenya	KEN	03-Jun-2010	2010-06-03	NA
PQ117905	PQ117905	15560	viral cRNA	2024-08-31	Human respirovirus 1	Homo sapiens	H20-344-3008	NA	USA: Virginia	USA	USA	10-Dec-2023	2023-12-10	NA
MT232426	MT232426	15554	viral cRNA	2020-04-22	Human respirovirus 1	Homo sapiens	2019AZ	NA	USA: Arizona, Tempe	USA	USA	Nov-2019	2019-11-01	metagenomic
ON778019	ON778019	15551	viral cRNA	2023-02-05	Human respirovirus 1	Homo sapiens	PIV1_3	NA	USA	USA	USA	2020-02-28	2020-02-28	NA
PP334243	PP334243	15550	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/4I3/2009	NA	USA	USA	USA	2009-10	2009-10-01	metagenomic
PP334250	PP334250	15550	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/8H4/2011	NA	USA	USA	USA	2011-08	2011-08-01	metagenomic
MF554711	MF554711	15549	viral cRNA	2023-12-22	Human respirovirus 1	Homo sapiens	HPIV1/Seattle/USA/5A10/2009	NA	USA	USA	USA	2009	2009-01-01	NA
PP334245	PP334245	15549	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/4L8/2009	NA	USA	USA	USA	2009-10	2009-10-01	metagenomic
PP334249	PP334249	15549	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/5O2/2010	NA	USA	USA	USA	2010-01	2010-01-01	metagenomic
PP334251	PP334251	15549	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/8H8/2011	NA	USA	USA	USA	2011-08	2011-08-01	metagenomic
PP334253	PP334253	15549	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/8M8/2011	NA	USA	USA	USA	2011-10	2011-10-01	metagenomic
KF530220	KF530220	15548	viral cRNA	2015-03-31	Human respirovirus 1	Homo sapiens	HPIV1/MEX/1842/2005	NA	Mexico	Mexico	MEX	19-Oct-2005	2005-10-19	NA
PP334247	PP334247	15548	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/5H5/2009	NA	USA	USA	USA	2009-11	2009-11-01	metagenomic
KF530209	KF530209	15547	viral cRNA	2013-09-14	Human respirovirus 1	Homo sapiens	HPIV1/FRA/31225147/2011	NA	France	France	FRA	03-Jun-2011	2011-06-03	NA
KF530218	KF530218	15546	viral cRNA	2013-09-14	Human respirovirus 1	Homo sapiens	HPIV1/FRA/30393061/2010	NA	France	France	FRA	29-Sep-2010	2010-09-29	NA
PQ117903	PQ117903	15546	viral cRNA	2024-08-31	Human respirovirus 1	Homo sapiens	H20-322-4262	NA	USA: Virginia	USA	USA	06-Oct-2023	2023-10-06	NA
PQ117907	PQ117907	15538	viral cRNA	2024-08-31	Human respirovirus 1	Homo sapiens	H20-346-2522	NA	USA: Virginia	USA	USA	11-Dec-2023	2023-12-11	NA
JQ901978	JQ901978	15535	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-008/1997	NA	USA	USA	USA	22-Nov-1997	1997-11-22	NA
JQ901992	JQ901992	15534	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-D01202/2009	NA	USA	USA	USA	06-Oct-2009	2009-10-06	NA
KF530215	KF530215	15534	viral cRNA	2013-09-14	Human respirovirus 1	Homo sapiens	HPIV1/FRA/27343049/2007	NA	France	France	FRA	22-Aug-2007	2007-08-22	NA
JQ901991	JQ901991	15533	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-D01150/2009	NA	USA	USA	USA	06-Oct-2009	2009-10-06	NA
JQ901993	JQ901993	15533	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-D02130/2009	NA	USA	USA	USA	06-Oct-2009	2009-10-06	NA
JQ901994	JQ901994	15533	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-D02401/2009	NA	USA	USA	USA	06-Oct-2009	2009-10-06	NA
JQ901989	JQ901989	15532	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-D00712/2009	NA	USA	USA	USA	02-Oct-2009	2009-10-02	NA
PP334246	PP334246	15532	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/4R7/2009	NA	USA	USA	USA	2009-10	2009-10-01	metagenomic
JQ901980	JQ901980	15531	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-009/1997	NA	USA	USA	USA	03-Dec-1997	1997-12-03	NA
JQ901979	JQ901979	15525	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-007/1997	NA	USA	USA	USA	22-Nov-1997	1997-11-22	NA
PP334254	PP334254	15525	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/8N5/2011	NA	USA	USA	USA	2011-10	2011-10-01	metagenomic
JQ901986	JQ901986	15524	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-D01681/2009	NA	USA	USA	USA	29-Sep-2009	2009-09-29	NA
MF554715	MF554715	15523	viral cRNA	2020-02-21	Human respirovirus 1	Homo sapiens	HPIV1/Seattle/USA/2D4	NA	USA	USA	USA	NA	NA	NA
PP334256	PP334256	15523	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/8P8/2011	NA	USA	USA	USA	2011-11	2011-11-01	metagenomic
JQ901982	JQ901982	15522	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-A31/2005	NA	USA	USA	USA	09-Nov-2005	2005-11-09	NA
MF554710	MF554710	15521	viral cRNA	2023-12-22	Human respirovirus 1	Homo sapiens	HPIV1/Seattle/USA/5F2/2009	NA	USA	USA	USA	2009	2009-01-01	NA
PP334242	PP334242	15521	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/4C5/2009	NA	USA	USA	USA	2009-09	2009-09-01	metagenomic
PP334248	PP334248	15520	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/5K4/2009	NA	USA	USA	USA	2009-11	2009-11-01	metagenomic
JQ901983	JQ901983	15518	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-003/2007	NA	USA	USA	USA	2007	2007-01-01	NA
JQ901971	JQ901971	15516	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	ATCC VR-94	NA	USA	USA	USA	1957	1957-01-01	NA
JQ901985	JQ901985	15516	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-001/2009	NA	USA	USA	USA	2009	2009-01-01	NA
JQ901990	JQ901990	15516	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-D02161/2009	NA	USA	USA	USA	03-Oct-2009	2009-10-03	NA
MF554709	MF554709	15516	viral cRNA	2023-12-22	Human respirovirus 1	Homo sapiens	HPIV1/Seattle/USA/5N4/2009	NA	USA	USA	USA	2009	2009-01-01	NA
PP334216	PP334216	15516	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/9A5/2012	NA	USA	USA	USA	2012-01	2012-01-01	metagenomic
PP334241	PP334241	15516	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/12R8/2016	NA	USA	USA	USA	2016-01	2016-01-01	metagenomic
JQ901981	JQ901981	15515	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-010/1999	NA	USA	USA	USA	05-Mar-1999	1999-03-05	NA
MF973164	MF973164	15514	viral cRNA	2023-12-22	Human respirovirus 1	Homo sapiens	HPIV1/Seattle/USA/5S5/2010	NA	USA	USA	USA	2010	2010-01-01	NA
PP334244	PP334244	15511	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/4L7/2009	NA	USA	USA	USA	2009-10	2009-10-01	metagenomic
PQ117902	PQ117902	15511	viral cRNA	2024-08-31	Human respirovirus 1	Homo sapiens	GKISBBBC98497	NA	USA: Virginia	USA	USA	13-Jun-2024	2024-06-13	NA
JQ901984	JQ901984	15506	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-030/2007	NA	USA	USA	USA	2007	2007-01-01	NA
JQ901995	JQ901995	15506	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-D01809/2009	NA	USA	USA	USA	11-Oct-2009	2009-10-11	NA
PP334255	PP334255	15506	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/8N10/2011	NA	USA	USA	USA	2011-11	2011-11-01	metagenomic
JQ901972	JQ901972	15505	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-002/1997	NA	USA	USA	USA	22-Sep-1997	1997-09-22	NA
JQ901988	JQ901988	15505	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-D01662/2009	NA	USA	USA	USA	29-Sep-2009	2009-09-29	NA
KF530203	KF530203	15504	viral cRNA	2013-09-14	Human respirovirus 1	Homo sapiens	HPIV1/USA/38078A/2011	NA	USA: SE Wisconsin	USA	USA	03-Jun-2011	2011-06-03	NA
KF530212	KF530212	15504	viral cRNA	2013-09-14	Human respirovirus 1	Homo sapiens	HPIV1/USA/38081A/2011	NA	USA: SE Wisconsin	USA	USA	24-Jun-2011	2011-06-24	NA
KF530217	KF530217	15504	viral cRNA	2015-03-31	Human respirovirus 1	Homo sapiens	HPIV1/MEX/1521/2005	NA	Mexico	Mexico	MEX	10-Feb-2005	2005-02-10	NA
KF530221	KF530221	15503	viral cRNA	2013-09-14	Human respirovirus 1	Homo sapiens	HPIV1/AUS/53/2007	NA	Australia	Australia	AUS	2007	2007-01-01	NA
MH685717	MH685717	15503	viral cRNA	2018-10-01	Human respirovirus 1	Homo sapiens	E0-033	NA	Uganda	Uganda	UGA	2013	2013-01-01	NA
PP334257	PP334257	15503	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/10T5/2013	NA	USA	USA	USA	2013-09	2013-09-01	metagenomic
MK167043	MK167043	15502	viral cRNA	2020-02-21	Human respirovirus 1	Homo sapiens	HPIV1/Los_Angeles/USA/CHLA36/2016	NA	USA	USA	USA	2016	2016-01-01	NA
PP334218	PP334218	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/9O4/2012	NA	USA	USA	USA	2012-07	2012-07-01	metagenomic
PP334219	PP334219	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/9O10/2012	NA	USA	USA	USA	2012-07	2012-07-01	metagenomic
PP334220	PP334220	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/9R3/2012	NA	USA	USA	USA	2012-08	2012-08-01	metagenomic
PP334221	PP334221	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/9R4/2012	NA	USA	USA	USA	2012-08	2012-08-01	metagenomic
PP334222	PP334222	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/9R5/2012	NA	USA	USA	USA	2012-08	2012-08-01	metagenomic
PP334223	PP334223	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/9R7/2012	NA	USA	USA	USA	2012-08	2012-08-01	metagenomic
PP334224	PP334224	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/9S6/2012	NA	USA	USA	USA	2012-08	2012-08-01	metagenomic
PP334225	PP334225	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/9T6/2012	NA	USA	USA	USA	2012-09	2012-09-01	metagenomic
PP334226	PP334226	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/10J6/2013	NA	USA	USA	USA	2013-02	2013-02-01	metagenomic
PP334227	PP334227	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/11B1/2013	NA	USA	USA	USA	2013-10	2013-10-01	metagenomic
PP334228	PP334228	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/11B3/2013	NA	USA	USA	USA	2013-10	2013-10-01	metagenomic
PP334229	PP334229	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/11B4/2013	NA	USA	USA	USA	2013-10	2013-10-01	metagenomic
PP334230	PP334230	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/11B10/2013	NA	USA	USA	USA	2013-10	2013-10-01	metagenomic
PP334231	PP334231	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/11C3/2013	NA	USA	USA	USA	2013-11	2013-11-01	metagenomic
PP334232	PP334232	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/11C5/2013	NA	USA	USA	USA	2013-11	2013-11-01	metagenomic
PP334240	PP334240	15502	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/12P7/2016	NA	USA	USA	USA	2016-01	2016-01-01	metagenomic
KF687314	KF687314	15500	viral cRNA	2013-09-30	Human respirovirus 1	Homo sapiens	HPIV1/FRA/30384043/2010	NA	France	France	FRA	23-Sep-2010	2010-09-23	NA
KY967354	KY967354	15498	viral cRNA	2023-12-22	Human respirovirus 1	Homo sapiens	HPIV1/Seattle/USA/6D6/2010	NA	USA	USA	USA	2010	2010-01-01	NA
KY674940	KY674940	15497	viral cRNA	2023-12-22	Human respirovirus 1	Homo sapiens	HPIV1/Seattle/USA/1P4/2009	NA	USA	USA	USA	2009	2009-01-01	NA
PP334252	PP334252	15495	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/8L6/2011	NA	USA	USA	USA	2011-10	2011-10-01	metagenomic
KF687310	KF687310	15494	viral cRNA	2013-09-30	Human respirovirus 1	Homo sapiens	HPIV1/AUS/54/2007	NA	Australia	Australia	AUS	2007	2007-01-01	NA
PQ117910	PQ117910	15494	viral cRNA	2024-08-31	Human respirovirus 1	Homo sapiens	H20-358-3583	NA	USA: California	USA	USA	01-Feb-2024	2024-02-01	NA
MF554714	MF554714	15492	viral cRNA	2023-12-22	Human respirovirus 1	Homo sapiens	HPIV1/Seattle/USA/5M6/2009	NA	USA	USA	USA	2009	2009-01-01	NA
MF554741	MF554741	15490	viral cRNA	2023-12-22	Human respirovirus 1	Homo sapiens	HPIV1/Seattle/USA/5E1/2009	NA	USA	USA	USA	2009	2009-01-01	NA
PP591757	PP591757	15490	viral cRNA	2024-04-16	Human respirovirus 1	Homo sapiens	ASU105548	NA	USA	USA	USA	10-May-2023	2023-05-10	metagenomic
PQ117908	PQ117908	15490	viral cRNA	2024-08-31	Human respirovirus 1	Homo sapiens	H20-356-5229	NA	USA: California	USA	USA	05-Jan-2024	2024-01-05	NA
KF530213	KF530213	15489	viral cRNA	2013-09-14	Human respirovirus 1	Homo sapiens	HPIV1/USA/35686C/2011	NA	USA: SE Wisconsin	USA	USA	13-Oct-2011	2011-10-13	NA
KY674973	KY674973	15488	viral cRNA	2023-12-22	Human respirovirus 1	Homo sapiens	HPIV1/Seattle/USA/13A6/2016	NA	USA	USA	USA	2016	2016-01-01	NA
MF554713	MF554713	15487	viral cRNA	2023-12-22	Human respirovirus 1	Homo sapiens	HPIV1/Seattle/USA/5N3/2009	NA	USA	USA	USA	2009	2009-01-01	NA
JQ901976	JQ901976	15486	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-003/1997	NA	USA	USA	USA	16-Oct-1997	1997-10-16	NA
KF530198	KF530198	15484	viral cRNA	2013-09-14	Human respirovirus 1	Homo sapiens	HPIV1/MEX/495/2003	NA	Mexico	Mexico	MEX	03-Oct-2003	2003-10-03	NA
KF530205	KF530205	15484	viral cRNA	2013-09-14	Human respirovirus 1	Homo sapiens	HPIV1/AUS/57/2007	NA	Australia	Australia	AUS	2007	2007-01-01	NA
KF687315	KF687315	15484	viral cRNA	2013-09-30	Human respirovirus 1	Homo sapiens	HPIV1/USA/32193A/2010	NA	USA: SE Wisconsin	USA	USA	09-Apr-2010	2010-04-09	NA
PQ117909	PQ117909	15482	viral cRNA	2024-08-31	Human respirovirus 1	Homo sapiens	H20-357-6510	NA	USA: California	USA	USA	31-Jan-2024	2024-01-31	NA
PQ117904	PQ117904	15480	viral cRNA	2024-08-31	Human respirovirus 1	Homo sapiens	H20-344-2663	NA	USA: Virginia	USA	USA	09-Dec-2023	2023-12-09	NA
JQ901973	JQ901973	15478	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-004/1997	NA	USA	USA	USA	24-Sep-1997	1997-09-24	NA
JQ901977	JQ901977	15478	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-006/1997	NA	USA	USA	USA	04-Nov-1997	1997-11-04	NA
MG773273	MG773273	15476	viral cRNA	2018-07-14	Human respirovirus 1	Homo sapiens	HPIV1/BuenosAires/ARG/001/2016	NA	Argentina	Argentina	ARG	27-Apr-2016	2016-04-27	NA
JQ901998	JQ901998	15474	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-D00387/2009	NA	USA	USA	USA	22-Oct-2009	2009-10-22	NA
JQ901974	JQ901974	15472	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-005/1997	NA	USA	USA	USA	25-Sep-1997	1997-09-25	NA
MW587045	MW587045	15472	viral cRNA	2022-01-21	Human respirovirus 1	Homo sapiens	S0594ZCJ	NA	China	China	CHN	May-2016/Dec-2017	1997-09-25	NA
MF166861	MF166861	15471	viral cRNA	2023-12-22	Human respirovirus 1	Homo sapiens	HPIV1/Seattle/USA/6F8/2010	NA	USA	USA	USA	2010	2010-01-01	NA
KF530202	KF530202	15454	viral cRNA	2013-09-14	Human respirovirus 1	Homo sapiens	HPIV1/USA/629-2/2009	NA	USA: SE Wisconsin	USA	USA	2009	2009-01-01	NA
JQ902008	JQ902008	15453	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-D01774/2009	NA	USA	USA	USA	03-Oct-2009	2009-10-03	NA
JQ902004	JQ902004	15450	viral cRNA	2019-01-18	Human respirovirus 1	Homo sapiens	HPIV1/WI/629-D01575/2009	NA	USA	USA	USA	30-Nov-2009	2009-11-30	NA
MF554712	MF554712	15446	viral cRNA	2020-02-21	Human respirovirus 1	Homo sapiens	HPIV1/Seattle/USA/5E10	NA	USA	USA	USA	NA	NA	NA
PP334194	PP334194	15444	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/4M7/2009	NA	USA	USA	USA	2009-10	2009-10-01	metagenomic
PP334197	PP334197	15444	viral cRNA	2024-05-01	Human respirovirus 1	Homo sapiens	HPIV1/USA/5F6/2009	NA	USA	USA	USA	2009-11	2009-11-01	metagenomic
